"Participant ID","Survey Identifier","Survey Timestamp","School type","What is your class year?","If other, please describe","Are you a first generation college student? (i.e. first of immediate family members to graduate from college)","Are you a first generation medical student? (i.e. first of immediate family members to graduate from medical school)","Do you receive financial support from parents, grandparents, etc.? (tuition, rent, monthly allowance, groceries, etc).","What is your current household income? This includes any financial support during medical school from spouses, parents, grandparents, caregivers, etc.  ","What is your estimated debt after graduating medical school? Please include all anticipated debt.","Are you receiving a tuition scholarship?","How much you spent on supplies/materials for clinical duties (ex: stethoscope, ophthalmoscope, reflex hammer, pen light, tuning fork, suture kits, tablet)  ","How much you spent on test prep/3rd party resources (ex: UWorld, Amboss, Sketchy, First Aid, Boards and Beyond, Pathoma, Osmosis, anatomy subscriptions, NBME practice tests)","How much you spent on clothing and attire appropriate for the hospital/clinic (business outfits, dress shoes, haircuts)","How much you spent on  textbooks for preclinical and clinical duties (including online copies of textbooks)","How much you spent on required board exams (Step 1, 2)","How much you spent on social/student fees (social activities/outings, school clothes and gear, student fees)","How much you spent on residency fees (travel, hotel, application fees, background check fees).  If this does not apply to you, leave it blank.","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Supplies/materials for clinical duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Test prep/3rd party resources)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Clothing for clinic/hospital duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Textbooks (or online copies))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Required exams (Step 1, 2))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Residency fees)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Social/student fees)","Does your school offer any programs for additional financial support?","Please describe the financial support provided by your medical school","I spent more money out of pocket during medical school than expected","The total cost of attendance listed by my medical school accurately predicted my expenses during medical school","The cost of additional resources has been a financial constraint at some point in my medical career","Financial concerns have impacted my mental health and well-being at some point in my medical career","I felt like I spent ____ I expected for resources directly applicable to my medical education",Age,"How would you describe your gender?","How would you describe your race?","Are you of Hispanic, Latino/a, or Spanish origin?",Complete?
166,,"2022-03-08 07:27:53","Public MD","Research/Year out",,Yes,Yes,No,0,240,"Yes, partial",2300,5000,1500,500,1550,1050,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",29,Woman,"Black or African American",No,Complete
167,,"2022-03-08 08:09:59","Private MD",M1,,No,Yes,No,0,300,"Yes, partial",300,0,350,150,0,250,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Agree,Agree,"The same as",26,Man,White,No,Complete
168,,"2022-03-08 08:59:15","Private MD",M3,,No,Yes,No,0,228,"Yes, partial",150,1000,200,100,1300,1000,,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Yes,,Disagree,Disagree,Neutral,Agree,"The same as",30,Non-binary/non-conforming,White,No,Complete
169,,"2022-03-08 09:01:43","Private MD",M2,,No,Yes,No,0,156,"Yes, full",400,850,2750,0,750,800,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,"Strongly agree","Significantly more than",26,Woman,White,No,Complete
170,,"2022-03-08 09:02:21","Private MD",M2,,No,Yes,No,0,100,"Yes, partial",0,1000,800,0,800,300,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",24,Man,White,No,Complete
171,,"2022-03-08 09:02:37","Private MD",M4,,No,Yes,Yes,64,0,"Yes, partial",200,900,400,100,1000,900,750,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,Neutral,Agree,Disagree,Disagree,"Significantly more than",27,Woman,Asian,No,Complete
172,,"2022-03-08 09:02:37","Private MD",M2,,Yes,Yes,Yes,20,72,"Yes, full",0,600,300,0,700,500,,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,"Strongly agree","Strongly agree","Significantly more than",24,Woman,White,Yes,Complete
173,,"2022-03-08 09:02:49","Private MD",M1,,Yes,Yes,No,0,112,"Yes, full",600,50,1000,0,,2000,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Yes,,Agree,Disagree,Agree,"Strongly agree","The same as",22,Woman,White,No,Complete
174,,"2022-03-08 09:03:14","Private MD",M1,,No,Yes,No,60,80,"Yes, full",800,,200,0,,3400,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,No,,"Strongly agree","Strongly disagree","Strongly agree",Agree,"Significantly more than",22,Woman,Asian,No,Complete
175,,"2022-03-08 09:05:00","Private MD",M2,,No,Yes,Yes,400,0,"Yes, partial",0,800,0,0,500,0,0,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Yes,,Disagree,Agree,"Strongly disagree","Strongly disagree","Significantly more than",24,Man,White,Yes,Complete
176,,"2022-03-08 09:06:44","Private MD",M4,,No,Yes,Yes,80,252,"Yes, partial",0,1000,700,300,1000,300,,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unsure,,Neutral,"Strongly agree",Disagree,Disagree,"The same as",28,Woman,Asian,No,Complete
177,,"2022-03-08 09:07:04","Private MD",M4,,No,Yes,No,0,60,"Yes, full",250,2050,750,0,1300,1200,750,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Yes,,Agree,Agree,Agree,"Strongly agree","Significantly more than",25,Man,"Black or African American",,Complete
178,,"2022-03-08 09:09:18","Private MD",M1,,No,No,No,56,400,"Yes, full",2250,0,200,0,0,350,0,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Neutral,Agree,Neutral,"Significantly more than",21,Woman,"Black or African American",No,Complete
179,,"2022-03-08 09:12:17","Private MD",M1,,Unsure,Yes,No,0,148,"Yes, partial",600,0,200,0,,2500,,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,No,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",24,Woman,Asian,No,Complete
180,,"2022-03-08 09:12:35","Private MD",M2,,No,Yes,No,0,200,"Yes, partial",0,900,600,100,550,550,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,Agree,"Significantly more than",22,Woman,White,No,Complete
181,,"2022-03-08 09:12:59","Private MD",M4,,Yes,Yes,No,92,132,"Yes, MSTP or other PhD funded program",500,2000,1000,1500,1500,4500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,"Strongly agree","Strongly agree","Significantly more than",32,Man,White,No,Complete
182,,"2022-03-08 09:13:45","Private MD",M4,,No,No,Yes,152,0,"Yes, partial",50,800,300,0,1200,200,300,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Yes,,Agree,Neutral,Agree,Neutral,"The same as",25,Woman,Asian,No,Complete
183,,"2022-03-08 09:20:25","Private MD",M1,,No,Yes,Yes,120,28,"Yes, partial",700,50,800,0,0,900,0,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Neutral,Neutral,Neutral,"Significantly more than",24,Woman,Asian,No,Complete
184,,"2022-03-08 09:21:37","Private MD",M3,,No,No,No,0,400,"Yes, partial",3000,1350,500,150,100,600,,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,No,"Scholarships, federal student loans",Neutral,Neutral,Neutral,"Strongly agree","The same as",26,Woman,"Black or African American",No,Complete
185,,"2022-03-08 09:21:42","Private MD",M1,,No,Yes,Yes,52,100,"Yes, partial",500,500,500,0,,150,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Agree,,Neutral,Agree,"The same as",21,Woman,Asian,No,Complete
186,,"2022-03-08 09:27:49","Private MD",M3,,No,Yes,No,0,120,"Yes, full",200,1500,800,500,1300,3650,,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Yes,,Agree,Disagree,Agree,"Strongly agree","Significantly more than",28,Woman,"Black or African American",No,Complete
187,,"2022-03-08 09:28:40","Private MD",M1,,No,Yes,Yes,400,168,No,150,650,550,0,,500,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Yes,,Agree,Disagree,Disagree,Agree,"Significantly more than",25,Woman,White,No,Complete
188,,"2022-03-08 09:29:50","Private MD",M1,,No,No,Yes,12,0,"Yes, full",550,0,250,250,0,800,0,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Yes,,Agree,Disagree,Agree,Agree,"The same as",25,,White,No,Complete
189,,"2022-03-08 09:30:23","Public MD","Research/Year out",,No,Yes,No,0,300,"Yes, partial",500,2250,2000,0,1300,1000,0,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Yes,,Agree,Neutral,"Strongly agree","Strongly agree","Significantly more than",26,Woman,"Black or African American",No,Complete
190,,"2022-03-08 09:31:45","Private MD",M1,,No,Yes,No,36,0,"Yes, MSTP or other PhD funded program",150,150,250,0,2500,2500,1500,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",24,Non-binary/non-conforming,"Black or African American",No,Complete
191,,"2022-03-08 09:33:22","Private MD",M1,,Yes,Yes,Yes,252,52,"Yes, partial",550,,200,0,,1000,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Yes,,Agree,Neutral,Agree,Agree,"Significantly more than",24,Woman,White,Yes,Complete
192,,"2022-03-08 09:33:44","Private MD",M3,,No,No,Yes,248,100,"Yes, partial",1450,1500,1000,300,2000,800,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Disagree,Disagree,"Significantly more than",25,Woman,White,No,Complete
193,,"2022-03-08 09:34:31","Private MD",M4,,No,Yes,No,0,100,"Yes, partial",750,2500,500,200,1200,400,,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Yes,,Agree,Neutral,Neutral,Agree,"The same as",26,Man,Asian,No,Complete
194,,"2022-03-08 09:36:21","Private MD",M4,,No,Yes,Yes,4,200,"Yes, partial",2500,3000,1000,0,2000,5000,1800,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Yes,,"Strongly agree",Neutral,Disagree,Neutral,"Significantly more than",26,Woman,Asian,No,Complete
195,,"2022-03-08 09:36:32","Private MD",M3,,No,Yes,Yes,20,20,"Yes, partial",50,1000,400,0,1200,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Neutral,Disagree,"The same as",24,Woman,Asian,No,Complete
196,,"2022-03-08 09:40:27","Private MD",M3,,No,Yes,No,0,240,"Yes, partial",800,1000,600,0,1500,850,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Agree,Agree,Disagree,"Strongly agree","Significantly more than",26,Woman,White,No,Complete
197,,"2022-03-08 09:41:18","Private MD",M1,,No,Yes,Yes,20,100,"Yes, partial",400,0,200,0,0,1400,,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,Agree,Disagree,Neutral,Agree,"The same as",23,Woman,White,No,Complete
198,,"2022-03-08 09:41:32","Private MD",M2,,No,No,Yes,,0,No,250,400,400,50,700,200,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,"Strongly disagree",Agree,"Strongly disagree","Strongly disagree","The same as",27,Woman,White,No,Complete
199,,"2022-03-08 09:42:39","Private MD",M2,,No,No,Yes,72,0,"Yes, full",500,900,550,150,600,600,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,"Strongly disagree",Neutral,"Significantly more than",29,Woman,Asian,Yes,Complete
200,,"2022-03-08 09:48:27","Private MD",M2,,No,Yes,Yes,12,4,"Yes, partial",500,100,200,0,650,500,,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,Disagree,Agree,Disagree,Disagree,"Significantly less than",24,Man,White,No,Complete
201,,"2022-03-08 09:50:05","Private MD",M1,,No,Yes,Yes,160,100,"Yes, partial",250,100,0,100,0,200,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Agree,Agree,Neutral,Agree,"The same as",24,Man,Asian,No,Complete
202,,"2022-03-08 09:53:09","Private MD",M4,,Yes,Yes,No,0,200,"Yes, partial",350,2000,1000,200,1300,2000,1500,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Agree,"Strongly agree","Significantly more than",26,Woman,,No,Complete
203,,"2022-03-08 09:54:32","Public MD",M4,,Yes,Yes,No,120,260,"Yes, partial",800,1500,250,250,2500,1600,3600,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Yes,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",31,Woman,White,No,Complete
204,,"2022-03-08 09:55:26","Private MD",M3,,No,Yes,No,0,0,"Yes, full",0,150,500,0,1150,1900,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Disagree,Neutral,Agree,Disagree,"The same as",27,Man,Asian,No,Complete
205,,"2022-03-08 09:59:06","Private MD",M3,,No,Yes,No,40,0,"Yes, MSTP or other PhD funded program",400,1600,800,200,1750,1350,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,"Strongly disagree",Disagree,"Significantly more than",29,Woman,"Prefer not to answer",No,Complete
206,,"2022-03-08 10:09:37","Private MD",M2,,No,Yes,No,0,116,"Yes, partial",50,0,0,0,650,500,0,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Yes,,Disagree,Disagree,Neutral,Neutral,"The same as",26,Woman,White,No,Complete
207,,"2022-03-08 10:16:10","Private MD",M4,,No,No,Yes,52,0,"Yes, partial",500,2000,1000,750,1500,3500,3000,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Yes,,Disagree,Neutral,Disagree,Disagree,"Significantly more than",27,Woman,White,No,Complete
208,,"2022-03-08 10:16:27","Private MD",M2,,No,No,Yes,208,0,"Yes, partial",400,250,200,100,650,500,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,,,Agree,Neutral,Agree,Agree,"The same as",24,Woman,Asian,No,Complete
209,,"2022-03-08 10:20:24","Private MD",M2,,No,Yes,Yes,200,128,"Yes, partial",1000,1350,650,200,650,400,,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Yes,,Agree,Disagree,Agree,Agree,"Significantly more than",25,Woman,Asian,No,Complete
210,,"2022-03-08 10:24:32","Private MD",M2,,No,Yes,Yes,140,152,"Yes, full",1050,1600,1100,0,1600,750,,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Disagree,Agree,Agree,"Significantly more than",24,Man,Asian,No,Complete
211,,"2022-03-08 10:34:12","Private MD",M4,,Yes,Yes,No,0,172,"Yes, partial",700,1200,250,0,1000,100,1350,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Yes,,Agree,Disagree,Agree,Agree,"Significantly more than",26,Man,"Prefer not to answer",Yes,Complete
212,,"2022-03-08 10:40:03","Private MD",M2,,Yes,Yes,No,4,200,"Yes, partial",50,550,200,0,650,500,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,Agree,"Significantly more than",28,Woman,White,Yes,Complete
213,,"2022-03-08 10:43:05","Private MD",M4,,No,No,Yes,100,0,"Yes, partial",0,3250,3450,850,2050,5000,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unsure,,"Strongly agree","Strongly disagree",Agree,Neutral,"Significantly more than",30,Woman,Asian,No,Complete
214,,"2022-03-08 11:00:11","Private MD",M1,,No,Yes,Yes,12,60,"Yes, full",500,200,400,0,0,950,0,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Disagree,Neutral,Disagree,"The same as",23,Woman,"Black or African American",,Complete
215,,"2022-03-08 11:23:12","Private MD",M2,,No,No,Yes,60,60,"Yes, partial",0,750,500,200,750,1300,,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Yes,,"Strongly agree",Agree,"Strongly disagree","Strongly disagree","Significantly more than",25,Woman,"Black or African American",No,Complete
216,,"2022-03-08 12:07:41","Private MD",M2,,No,No,Yes,100,88,"Yes, partial",1250,1500,2000,1050,1600,5000,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,Agree,Neutral,Agree,"Strongly agree","Significantly more than",24,Woman,White,Yes,Complete
217,,"2022-03-08 12:15:05","Private MD",M1,,No,Yes,Yes,24,200,"Yes, partial",0,150,500,0,,500,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Neutral,Neutral,Agree,"The same as",23,Woman,White,No,Complete
218,,"2022-03-08 12:18:03","Private MD",M1,,Yes,Yes,No,0,200,"Yes, partial",50,0,400,50,,,,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unsure,,Agree,Agree,Neutral,"Strongly agree","The same as",25,Woman,White,No,Complete
219,,"2022-03-08 12:18:26","Private MD",M1,,No,Yes,Yes,132,88,"Yes, partial",0,200,400,0,,500,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Agree,Agree,Agree,"The same as",24,Woman,"Black or African American",No,Complete
220,,"2022-03-08 12:39:21","Private MD",M4,,No,Yes,No,0,40,"Yes, full",0,1500,600,0,1300,5000,1650,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,"Strongly disagree",Neutral,Agree,"Strongly disagree","Significantly more than",28,Man,"Black or African American",No,Complete
221,,"2022-03-08 13:09:00","Private MD",M4,,No,Yes,No,216,0,"Yes, partial",50,800,200,0,1250,4000,300,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Yes,,Disagree,Agree,Disagree,Disagree,"The same as",26,Man,White,No,Complete
222,,"2022-03-08 13:23:28","Private MD",M1,,No,Yes,No,0,160,"Yes, full",500,0,300,100,1000,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Disagree,Agree,Agree,Agree,"The same as",23,Woman,White,No,Complete
223,,"2022-03-08 13:41:55","Private MD",M3,,No,Yes,No,0,172,"Yes, partial",800,1000,700,50,1550,550,1500,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Agree,"Strongly agree","Significantly more than",30,Woman,White,No,Complete
224,,"2022-03-08 13:45:50","Private MD",M3,,No,Yes,Yes,24,120,"Yes, partial",350,,250,150,1250,500,,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Yes,,Neutral,Neutral,Disagree,Disagree,"The same as",27,Woman,White,No,Complete
225,,"2022-03-08 14:01:57","Private MD",M3,,No,No,Yes,400,0,No,300,2000,150,150,2200,50,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,"Strongly disagree","Strongly disagree",Agree,"Significantly more than",25,Woman,White,No,Complete
226,,"2022-03-08 14:40:07","Public MD",M4,,No,Yes,Yes,20,184,"Yes, partial",300,850,300,200,1000,500,750,Checked,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unsure,,Agree,Disagree,Neutral,Agree,"Significantly more than",27,Woman,Asian,No,Complete
227,,"2022-03-08 16:43:40","Public MD",M3,,No,Yes,No,40,200,"Yes, partial",300,900,400,200,2150,1200,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Yes,,"Strongly agree",Agree,Agree,Disagree,"Significantly more than",26,Woman,White,No,Complete
228,,"2022-03-08 17:38:21","Public MD",M3,,No,No,Yes,400,0,No,1000,5000,1500,500,1900,1500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,"Strongly disagree","Strongly disagree","The same as",24,Woman,Asian,No,Complete
229,,"2022-03-08 17:41:27","Public MD",M2,,No,Yes,Yes,60,120,No,150,1000,100,50,650,400,0,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Agree,Disagree,Neutral,"Significantly more than",23,Man,White,No,Complete
230,,"2022-03-08 17:53:30","Public MD",M4,,No,Yes,No,0,276,No,300,2000,500,1000,1150,300,1350,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Neutral,Agree,Agree,"Strongly agree","Significantly more than",27,Man,"Prefer not to answer","Prefer not to answer",Complete
231,,"2022-03-08 17:58:11","Public MD",M3,,No,Yes,No,0,84,No,600,5000,1050,450,1050,450,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,"Strongly disagree","Significantly more than",25,Woman,White,No,Complete
232,,"2022-03-08 17:58:35","Private MD",M4,,No,Yes,No,120,156,"Yes, partial",300,1800,500,400,1300,2500,450,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,"Strongly agree","Strongly agree","The same as",26,Woman,"Black or African American",No,Complete
233,,"2022-03-08 18:06:32","Public MD",M3,,No,Yes,Yes,152,52,No,1150,2750,1000,500,1950,600,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",26,Woman,Asian,No,Complete
234,,"2022-03-08 18:37:31","Public MD",M4,,No,Yes,No,0,304,No,150,1200,250,100,1350,0,0,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,No,"not related, but spent over $12,000 on medical/health expenses ","Strongly agree","Strongly disagree","Strongly agree",Agree,"Significantly more than",30,Woman,White,No,Complete
235,,"2022-03-08 19:18:36","Public MD",M4,,No,Yes,No,0,240,No,550,500,100,300,1650,2900,3000,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,No,"Very little. Based on some undisclosed calculations certain people get scholarships and subsidized loans, although parental income does not seem to be a factor. ","Strongly agree","Strongly disagree",,,"Significantly more than",28,Man,White,No,Complete
236,,"2022-03-08 19:39:34","Private MD",M3,,No,No,Yes,400,40,"Yes, full",0,750,300,0,1500,5000,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,,,Agree,Disagree,Neutral,Agree,"Significantly more than",26,Woman,"Black or African American",No,Complete
237,,"2022-03-08 21:24:03","Private MD",M3,,No,Yes,No,0,152,"Yes, partial",900,1000,500,100,1150,1000,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Yes,,Agree,Neutral,"Strongly agree",Agree,"The same as",26,Man,,Yes,Complete
238,,"2022-03-08 21:34:01","Private MD",M3,,No,Yes,No,120,160,"Yes, partial",250,600,300,100,1200,3400,,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,Neutral,Agree,Neutral,Agree,"The same as",26,Woman,"Prefer not to answer",No,Complete
239,,"2022-03-08 21:51:38","Public MD",M3,,No,Yes,No,0,300,No,300,2000,300,100,2000,250,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Agree,Agree,"Strongly agree","Significantly more than",25,Woman,Asian,No,Complete
240,,"2022-03-08 22:18:45","Private MD",M3,,No,Yes,No,0,100,"Yes, full",700,3300,1500,300,2000,200,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Yes,,Agree,Disagree,Agree,Neutral,"The same as",26,Woman,,Yes,Complete
241,,"2022-03-09 02:06:57","Private MD",M4,,No,Yes,No,60,280,No,700,3000,1000,500,2500,800,8100,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,No,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",32,Woman,White,No,Complete
242,,"2022-03-09 09:00:28","Private MD",M4,,No,No,Yes,92,192,No,150,800,500,0,1300,300,150,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Neutral,Neutral,"The same as",26,Woman,"Prefer not to answer",No,Complete
243,,"2022-03-09 10:39:39","Private MD",M4,,No,No,Yes,12,156,"Yes, partial",550,2200,550,0,2500,200,1050,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unsure,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",28,Woman,White,No,Complete
244,,"2022-03-09 11:47:03","Public MD",M4,,No,No,No,208,200,No,3350,3550,2500,2500,3150,2500,,Checked,Checked,Checked,Checked,Checked,Checked,Checked,No,,Agree,Agree,Agree,Agree,"Significantly more than",26,Woman,Asian,,Complete
245,,"2022-03-09 11:52:32","Public MD",M4,,No,Yes,Yes,12,268,"Yes, partial",300,900,600,250,1400,200,450,Checked,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree",Agree,"Significantly more than",27,Woman,White,No,Complete
246,,"2022-03-09 12:40:30","Private MD",M3,,No,Yes,No,8,172,"Yes, partial",800,800,800,0,1400,5000,7500,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,,,"Strongly agree",Agree,Agree,Agree,"Significantly more than",25,Woman,White,No,Complete
247,,"2022-03-09 12:45:49","Public MD",M2,,No,Yes,Yes,40,88,"Yes, partial",350,1000,500,100,700,1000,,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly disagree","Strongly disagree",Agree,"The same as",24,Man,Asian,No,Complete
248,,"2022-03-09 13:56:50","Private MD",M1,,Yes,Yes,No,0,160,"Yes, partial",4100,3000,2250,700,2500,2500,0,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",24,Woman,"Prefer not to answer",No,Complete
249,,"2022-03-09 15:21:14","Public MD",M2,,No,Yes,No,0,220,No,500,750,900,0,250,650,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,,Agree,Disagree,"Strongly agree","Strongly agree","Significantly more than",24,Man,Asian,No,Complete
250,,"2022-03-09 17:24:54","Public MD","Research/Year out",,No,Yes,No,0,120,"Yes, partial",200,2500,50,100,1800,100,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Yes,,Agree,Neutral,Neutral,Neutral,"Significantly more than",27,Woman,White,No,Complete
251,,"2022-03-09 19:54:29","Private MD",M4,,No,No,Yes,36,0,No,750,1200,400,200,1400,50,3000,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",28,Woman,White,No,Complete
252,,"2022-03-09 23:11:49","Private MD",M3,,No,Yes,Yes,120,0,"Yes, full",0,800,500,0,1300,450,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,Agree,Agree,Disagree,"Strongly disagree","The same as",25,Woman,Asian,No,Complete
